START_DATE,END_DATE,WEEK,MONTH,YEAR,CARRIER,ROUTE,Departures,PASSENGERS,DATE,WeekDay Name,Seasonality,Weather Condition,Holiday Status,Holiday_In_Week,Holiday_Names,SOURCE_SHEET
2/22/2021,2/26/2021,Feb 22-26,Feb,2021,Lakeland,Commuter Bus Departures,12,273,02/22/2021 - 02/26/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 22-26
2/22/2021,2/26/2021,Feb 22-26,Feb,2021,Martz,Commuter Bus Departures,13,455,02/22/2021 - 02/26/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 22-26
2/22/2021,2/26/2021,Feb 22-26,Feb,2021,NJ Transit,Commuter Bus Departures,2077,27440,02/22/2021 - 02/26/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 22-26
2/22/2021,2/26/2021,Feb 22-26,Feb,2021,Peter Pan/Bonanza,Intercity Bus Departures,9,240,02/22/2021 - 02/26/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 22-26
2/22/2021,2/26/2021,Feb 22-26,Feb,2021,Trailways,Intercity Bus Departures,10,225,02/22/2021 - 02/26/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 22-26
2/22/2021,2/26/2021,Feb 22-26,Feb,2021,TransBridge,Commuter Bus Departures,12,310,02/22/2021 - 02/26/2021,Monday,Winter,Cold / Snow,Regular Week,0,,Feb 22-26
3/2/2021,3/5/2021,March 2-5,Mar,2021,Academy,Commuter Bus Departures,32,577,03/02/2021 - 03/05/2021,Tuesday,Spring,Chilly / Rain,Regular Week,0,,March 2-5
3/2/2021,3/5/2021,March 2-5,Mar,2021,Coach USA,Commuter Bus Departures,83,1621,03/02/2021 - 03/05/2021,Tuesday,Spring,Chilly / Rain,Regular Week,0,,March 2-5
3/2/2021,3/5/2021,March 2-5,Mar,2021,Greyhound,Intercity Bus Departures,35,976,03/02/2021 - 03/05/2021,Tuesday,Spring,Chilly / Rain,Regular Week,0,,March 2-5
3/2/2021,3/5/2021,March 2-5,Mar,2021,HCEE - Community,Commuter Bus Departures,71,1171,03/02/2021 - 03/05/2021,Tuesday,Spring,Chilly / Rain,Regular Week,0,,March 2-5
3/2/2021,3/5/2021,March 2-5,Mar,2021,Lakeland,Commuter Bus Departures,12,291,03/02/2021 - 03/05/2021,Tuesday,Spring,Chilly / Rain,Regular Week,0,,March 2-5
